Time,LogLevel,Description
2020-04-20 09:42:05.8828,INFO,Application started
2020-04-20 09:42:19.8199,DEBUG,Enter to home page
2020-04-20 09:42:32.2641,DEBUG,Enter to home page
2020-04-20 09:42:43.8761,INFO,User user login in the system
2020-04-20 09:42:43.8839,DEBUG,Enter to home page
2020-04-20 09:42:50.9149,DEBUG,Enter to home page
2020-04-20 09:43:05.7825,INFO,User userTemp registred in the system
2020-04-20 09:43:05.7825,DEBUG,Enter to home page
2020-04-20 09:43:27.1906,DEBUG,Enter to home page
2020-04-20 09:43:29.7834,INFO,User user login in the system
2020-04-20 09:43:29.7834,DEBUG,Enter to home page
2020-04-20 09:43:30.9271,DEBUG,Enter to home page
2020-04-20 09:43:33.0812,INFO,User user login in the system
2020-04-20 09:43:33.0812,DEBUG,Enter to home page
2020-04-20 09:43:34.3432,DEBUG,Enter to home page
2020-04-20 09:43:37.8087,INFO,User user login in the system
2020-04-20 09:43:37.8087,DEBUG,Enter to home page
2020-04-20 09:43:38.7809,DEBUG,Enter to home page
